Listado actualizado a la fecha 12-10-2025 08:58:50 pm,,,
ARTICULO,CODIGO,STOCK,PRECIO
Limpiador Liquido Ban?O Doypack Odex 450 Ml,7791905004400,-3,1400
Papel Higienico Higienol 4 Un 120 Mt,7790250912811,37,1900
Acondicionador Sedal restauracion x 650 ml_unidad,7791293031231,3,6900
DEA ESCOBILLON SATURNO,7798059389179,4,3600
Dulce de leche pop 400 g,7794062000162,-1,2000
fideo codito tio nico,7795615000240,20,800
La Campañola Spaguetti 500gr La Campagnola,7790580134693,8,1600
TALLE (xl) / COLOR (rojo),100025888148553,32,250
yogur descremado,7791058790809,21,2300
*GEL ALGABO POMO X 150g,7791274196454,-1,3000
10 roll de lana de acero,7798059384198,20,800
3D Original 43gr,7790310985113,9,2200
3D ORIGINAL 85G,7790310985830,4,3600
3D original 92g,7790310985120,0,1600
3D original x 23g,7790310983461,-10,1200
600,7790040133495,-19,600
"7UP 1,5 L",7791813444411,14,3700
"7UP 1,5L",7791813969488,-6,2600
7UP 354,7791813777021,-23,1300
7up 500 cc,7791813777038,1,1200
7UP 500ML,7791813444381,-15,1500
7up lata,7791813050582,30,1200
7up zero500ml,7791813434368,7,1800
9002490280055,9002490280055,12,3200
ACE clasico 800ml,7790990002964,1,3100
ACEITE GIRASOL FINCA EL LAZO 850ml,7798374760011,-70,2800
aceite bonoleo de 900cc,763571775721,-74,2250
Aceite Cocinero De Girasol x 900 Cc.,7790070012050,10,3400
ACEITE COCINERO MEZCLA 900 ML,7790060234868,16,2100
Aceite Costa Del Sol Girasol x 900 Cc.,7793065000117,29,1800
Aceite De Girasol Lagrimas Del Sol 900 Cc,7793377000317,-10,2900
Aceite De Iliva Natura,7790272008394,5,14000
aceite de oliva,7790139004828,5,12000
Aceite Fritolim Manteca x 120 Gr.,7790070228673,0,2400
Aceite Girasol Legitimo x 1.5,7798316700815,13,3600
Aceite Mezcla Girasol Y Maiz Siglo De Oro 900 Cc,7794870000330,9,2400
Aceite Natura Girasol x 900 Cc.,7790272001005,-6,2700
Aceto Bals�mico Tradicional Menoyo 250 cc,7790130003226,0,1000
acondicionador pantene brillo extremo 200ml,7500435212212,0,2600
acondicionador pantene fuerza y rescontruccion 200ml,7500435211901,1,2600
acondicionador pantene hidrata y fortalece 200ml,7500435230070,0,2600
acondicionador pantene micelar purifica y hidrata 200ml,7500435168175,2,2600
acondicionador plusbelle rosa,7790740000318,39,3700
Acondicionador SEDAL Ceramidas 340ml,7791293045931,4,3500
